"Voting ",,,,,"General "
33039,"Gounla Public School ",,"Gounla ",525,2
33050,"Cocopa Camp Four School ",,"Cocopa Camp 4 ",927,2
33051,"Cocopa Camp One School ",,"Cocopa Camp I ",1121,3
33060,"Zao Public School ",,"Zao ",1393,3
33082,"Gipo Public School ",,"Gipo ",1397,3
33096,"Karnwee Public School ",,"Karnwee ",1344,3
33107,"Kpallah Public School ",,"Kpallah ",1920,4
33109,"Buttein Public School ",,"Buttein ",916,2
33110,"Kpein Public School ",,"Kpein ",2217,5
33111,"Venpa Public School ",,"Venpa ",668,2
33141,"Duayee Public School ",,"Duayee ",1651,4
33159,"Sokpa Palava Hut ",,"Sokopa ",594,2
33168,"Galaypa Public School ",,"Galaypa ",482,1
33170,"Duo Public School ",,"Duo ",2037,5
33175,"Beipa Palava Hut ",,"Beipa ",1541,4
33180,"Gbahn Public School ",,"Gbahn ",824,2
33181,"Kpoahpa Public School ",,"Kpoahpa ",918,2
33186,"Yarsonnoh Public School ",,"Yarsonnoh ",770,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ",,"ELECTORAL DISTRICT : 9 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
33066,"Dorgbor Town Public School ",,"Dorgbor ",335,1
33084,"Glehyee Zorpea Palava Hut ",,"Glehyee Zorpea ",1302,3
33085,"Ganwee Palava Hut ",,"Ganwee ",851,2
33086,"Boyee Palava Hut ",,"Boyee ",773,2
33087,"Goekorpa Public School ",,"Goekorpa ",462,1
33090,"Graie Public School ",,"Graie Township ",1652,4
33093,"Bein Glahn Public School ",,"Bein Glahn ",534,2
33094,"Guotoin Public School ",,"Guotoin ",1026,3
33095,"Wright Town's Public School ",,"Wright's Town ",152,1
33112,"Plehyee Palava Hut ",,"Sendin Plehyee ",631,2
33113,"Kpowin Public School ",,"Kpoowin ",662,2
33114,"Kwendin Palava Hut ",,"Kwendin ",1406,3
33126,"Mehnla Palava Hut ",,"Mehnla ",1678,4
33129,"Nebornwen Palava Hut ",,"Yillay ",318,1
33130,"Glahn's Town Public School ",,"Glahn ",533,2
33131,"Tiah Public School ",,"Tiah ",216,1
33174,"Troyah Public School ",,"Troyah ",99,1
33178,"Zeonghen Public School ",,"Zeonghen ",1299,3
33184,"Wontoe Public School ",,"Wontoe ",258,1
33192,"Dahnpa Palava Hut ",,"Dahnpa ",739,2
33193,"Zahnzaye Public School ",,"Zahnzaye ",1048,3
33195,"Kidka Palava Hut ",,"Kidka ",226,1
33197,"Camp One Town Public School ",,"Camp One Town ",505,2
33198,"Freeman Public School ",,"Freeman ",395,1
33199,"Karyee Public School ",,"Karyee ",847,2
33200,"Zekepa Public School ",,"Zekepa ",992,2
33201,"Ziah Old Palava Hut ",,"Ziah Old ",1572,4
33210,"Zuaplay Public School ",,"Zuaplay ",1046,3
33211,"Doumpa Palava Hut ",,"Doumpa ",766,2
33212,"Zuolay Chief Compound ",,"Zuolay ",1654,4
33214,"Zuotuo Public School ",,"Zuotuo ",528,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :RIVER GEE ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
42001,"Cherboken Public School ",,"Cheboken ",877,2
42003,"Dweaken Town Hall ",,"Dweaken ",845,2
42012,"J.J. Geleplay Elem. School ",,"Kanweaken ",3526,8
42013,"Waplo Memorial Institute ",,"Killepo Kanweakea ",1551,4
42018,"Nyonken Town Hall ",,"Nyonken ",1799,4
42022,"Tiah Memorial Academy ",,"Putuken ",1159,3
42024,"Saywonken Town Hall ",,"Saywonken ",432,1
42026,"Torroeken Town Hall ",,"Torroken ",80,1
42029,"Krakree Public School ",,"Krakree ",538,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :RIVER GEE ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
42005,"Geeken Public School ",,"Geeken ",518,2
42008,"Jarkaken Public School ",,"Jarkaken ",1491,3
42010,"Jaytoken Public School ",,"Jaytoken ",602,2
42011,"Joquiken A.G. Church ",,"Joquiken ",1408,3
42015,"Konken Town Hall ",,"Konken #1 ",452,1
42019,"Paroken Public School ",,"Paroken ",785,2
42020,"Juwelbo Public School ",,"Juwelbo ",360,1
42021,"Pronoken A.G. Church ",,"Pronoken ",1112,3
42023,"Lutheran Elem. School ",,"Jayproken ",392,1
42031,"Fish Town Demonstration School ",,"Fish Town City ",3428,7
"Voting ",,,,,"General "
"Precinct ","COUNTY :RIVER GEE ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
42002,"Webbo Teacher Training Institute ",,"Kronoken City ",2470,5
42004,"Chea Cheapo Elementry School ",,"Old Yassaken Town ",937,2
42006,"Yargbeken Public School ",,"Yargbeken ",656,2
42007,"Gbaweleken Market Hall ",,"Gbaweleken ",1375,3
42009,"Taryaken Town Hall ",,"Taryaken ",634,2
42014,"Yobloken Town Hall ",,"Yobloken ",171,1
42016,"Freetown Palava Hut ",,"Free Town ",704,2
42017,"Tom Wah Jr. High School ",,"Sarbo Sweaken Town ",1225,3
42025,"Tarwarken Public School ",,"Tarwarken ",472,1
42027,"Paaken Public School ",,"Paaken ",558,2
42028,"Tuobo Sweaken Town Hall ",,"Toubo Sweaken ",497,1
42030,"Youbor Palava Hut ",,"Youbor ",461,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :RIVER CESS ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
36001,"Bahn Town Palava Hut ",,"Bahn Town ",638,2
36002,"Bannie Town Palava Hut ",,"Bannie Town ",396,1
36003,"Gblor Church ",,"Gblor Town ",114,1
36004,"Bluen Palava Hut ",,"Bluen Town ",439,1
36005,"Bodowhea Palava Hut ",,"Bodowhea Toen ",1531,4
36006,"Kangbo Town Church ",,"Kangbo Town ",715,2
36007,"Suakon Dehbor Palava Hut ",,"Suakon Debbor ",359,1
36009,"Neezoin School Building ",,"Neezoin Town ",904,2
36010,"Garpue Palava Hut ",,"Garpue Town ",497,1
36014,"Gbehwronkon Palava Hut ",,"Gbehwronkon ",410,1
36018,"Zoryeah Palava Hut ",,"Zoryeah ",667,2
36020,"Gleozohn Palava Hut ",,"Gleozohn ",570,2
36022,"Gorgor Church ",,"Gorgor Town ",472,1
36023,"Gozohn Church ",,"Gozohn Town ",669,2
36025,"Bogeezay Town Hall ",,"Bogeezay Town ",1092,3
36027,"Nagbo Town Palava Hut ",,"Nagbo ",782,2
36032,"Saywheowor Town Church ",,"Saywheowor ",631,2
36035,"Goezohn Palava Hut ",,"Goezohn ",988,2
36036,"Yolo Palava Hut ",,"Yolo ",602,2
36037,"Zammie Palava Hut ",,"Zammie ",1055,3
36038,"Karchhukon palava Hut ",,"Karchhukon ",496,1
36039,"Gborwuzohn Palava Hut ",,"Gborwuzohn ",957,2
36040,"Boe Palava Hut ",,"Boe ",543,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :RIVER CESS ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
36008,"Klabga Palava Hut ",,"klaygbe ",686,2
36011,"Little Liberia School Building ",,"Little Liberia Village ",1522,4
36012,"Yarpa's Town Hall ",,"Yarpa's Town ",2966,7
36013,"Gesay Judu Palava Hut ",,"Gesay Judu ",625,2
36015,"DangronGbor Church ",,"Dangron Gbor Town ",225,1
36016,"ITI Town Hall ",,"ITI ",981,2
36017,"Gborseo School Building ",,"Gborseo ",810,2
36019,"Charlie School Building ",,"Charlie ",449,1
36021,"Quitoe Town Church ",,"Quitoe ",673,2
36024,"Voin Palava Hut ",,"Voin Town ",539,2
36026,"Dunn Town Palava Hut ",,"Dunn Town ",450,1
36028,"Farh Palava Hut ",,"Farh ",335,1
36029,"Neegba Town Palava Hut ",,"Neegba ",529,2
36030,"Solo Gold Camp Palava Hut ",,"Solo Gold Camp ",179,1
36031,"Ceyea Town Palava Hut ",,"Ceyea ",783,2
36033,"Borbor Palava Hut ",,"Borbor ",526,2
36034,"Garyeazohn Palava Hut ",,"Garyeazohn ",425,1
36041,"Cestos High School ",,"Cestos ",1906,4
36042,"Darsaw Public School ",,"Darsaw ",1394,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :SINOE ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
39001,"Richard Kantah Jr. High School ",,"Bannah ",517,2
39005,"Butaw Compound Administrative Buliding ",,"Butaw Compound ",345,1
39021,"Kabada Adm. Building ",,"Kabada ",536,2
39023,"Tubmanville Clinic ",,"Tubmanville Mission ",1134,3
39024,"Deijilla Public school ",,"Dejila ",712,2
39025,"Klaniadae Palava Hut ",,"Klaniadae ",315,1
39029,"Grisby Farm Public School ",,"Grisby Farm ",762,2
39033,"Menwah Palava Hut ",,"Memwah ",341,1
39040,"Palotroken Palava Hut ",,"Palatroken ",807,2
39041,"Wolee Jr. High School ",,"Panama ",600,2
39051,"Blaoh Palava Hut ",,"Blaoh ",639,2
39057,"Wessay Town Palava Hut ",,"Wessay Town ",248,1
39059,"Sinoe Multilateral High School ",,"Farmersville ",1057,3
39060,"Lexington Jr. High School ",,"Lexington ",454,1
39061,"Lower Murrayville Elem. School ",,"Chea's Town ",425,1
39062,"Greenville Administrative Building ",,"Down Town ",2143,5
39063,"Seebeh Jr. High School ",,"Seebeh ",1533,4
39064,"Harrison Grigsby Methodist High School ",,"Geeklor ",3211,7
"Voting ",,,,,"General "
"Precinct ","COUNTY :SINOE ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
39002,"Kunwiah Palava Hut ",,"Kunwiah ",517,2
39006,"Tuzonburg Public School ",,"Tuzon ",630,2
39011,"Karquekpo Palava Hut ",,"Karquekpo ",1138,3
39012,"Doodwicken Public School ",,"Doodwicken ",641,2
39013,"Ducor Free Public School ",,"Ducor Free ",626,2
39014,"Joplokpo Palava Hut ",,"Joplokpo ",728,2
39016,"Gbarteken Public School ",,"Gbarteken ",256,1
39017,"Old Government Camp Palava Hut ",,"Old Government Camp-Neeteah ",1884,4
39019,"Gmagmakpo Palava Hut ",,"Gmagmakpo ",564,2
39022,"Kajaliken Public School ",,"Kajaliken ",354,1
39030,"Diyankpo Palava Hut ",,"Diyankpo ",1091,3
39031,"Titiyen Public School ",,"Tityyen Village ",268,1
39034,"Nana Kru Palava Hut ",,"Nana kru ",578,2
39036,"Kwitatuzon Palava Hut ",,"Kwitatuson ",413,1
39037,"Saygbeken Public School ",,"Saygbeken ",1051,3
39042,"Kwiatuo Juaryen Palava Hut ",,"Kwiatuo Juaryen ",440,1
39047,"Sethum Juaryen Public School ",,"Sethum Juaryen ",504,2
39049,"Setta Kru Palava Hut ",,"Setta Kru ",545,2
39054,"Jarpuken Public School ",,"Jarpuken ",427,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :SINOE ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
39003,"Kallor Town Palava Hut ",,"Kallor Town ",236,1
39004,"Judu Town Public School ",,"Judu Town ",334,1
39007,"Ceeter Palava Hut ",,"Ceeter Town ",347,1
39008,"Chebioh Palava Hut ",,"Chebioh ",239,1
39009,"Bilibokree Administrative Building ",,"Bilibokree Town ",1505,4
39010,"Pelloken Palava Hut ",,"Pelloken ",299,1
39015,"Camp-2 Palava Hut ",,"Najor /Camp-2 ",409,1
39018,"Boe Smaljilla Public School ",,"Boe Smaljilla ",260,1
39020,"Voogbadee Public School ",,"Voogbadee ",748,2
39026,"Gboyee Town Palava Hut ",,"Gboyee ",349,1
39027,"Baffu Camp Palava Hut ",,"Baffu Camp ",774,2
39028,"Korjayee No. 2 Palava Hut ",,"Korjayee #2 ",159,1
39032,"Tugbaville Administrative Building ",,"Tugbaville Town ",858,2
39035,"Jacksonville Kulu Elem. & Jr. High School ",,"Jacksonville ",499,1
39038,"Nyennfueh Market ",,"Nyennfueh ",604,2
39039,"Old Pyne Adm. Building ",,"Pyne Town/ Old ",1457,3
39043,"Plandialebo High School ",,"Plandialebo ",726,2
39044,"Quoih - Duo Palava Hut ",,"Quoih - Duo ",45,1
39045,"Jalay Town Palava Hut ",,"Jalay Town ",487,1
39046,"Kingston Weagbah Elem. & Jr. High School ",,"Oneway ",349,1
39048,"Sargbah Town Public School ",,"Sargbah ",268,1
39050,"Kulu Public Elem. & Jr. High School ",,"Sonoah ",261,1
39052,"Tarlow Town Hall ",,"Unification Town/Tarlow ",589,2
39053,"Karmo Palava Hut ",,"Karmo ",743,2
39055,"Tanneh Wiah Town Public School ",,"Tanneh Wiah Town ",420,1
39056,"Gbazon Palava Hut ",,"Gbazon ",877,2
39058,"Tournata Palava Hut ",,"TournataTown ",424,1
